zipcode,DealerName,Address,Link,city,state,county_name,Latitude,Longitude,IV_link
4212,Lee Nissan Of Auburn,"793 CENTER ST, AUBURN, ME 04212",http://www.leenissan.net/,Auburn,ME,Androscoggin County,NA,NA,http://www.leenissan.net/new-inventory/
4330,Charlie's Nissan,"465 WESTERN AVE, AUGUSTA, ME 04330",http://www.charliesnissan.com/index.htm,Augusta,ME,Kennebec County,NA,NA,http://www.charliesnissan.com/new-inventory/?
4401,Darling's Nissan,"114 SYLVAN RD, BANGOR, ME 04401",http://www.darlingsnissan.com,Bangor,ME,Penobscot County,NA,NA,http://www.darlingsnissan.com/new-inventory/index.htm
5201,Langway Nissan/Bennington,"24 PERFORMANCE DR, BENNINGTON, VT 05201",http://www.langwaynissan.com,Bennington,VT,Bennington County,NA,NA,http://www.langwaynissan.com/new-inventory/
5403,Freedom Nissan,"1095 SHELBURNE ROAD, SOUTH BURLINGTON, VT 05403",http://www.nissanvt.com/,South Burlington,VT,Chittenden County,NA,NA,http://www.nissanvt.com/burlington/new-cars-for-sale.htm
5478,North Country Nissan,"4 FRANKLIN PARK W, SAINT ALBANS, VT 05478",http://www.northcountrynissan.com/,Saint Albans,VT,Franklin County,NA,NA,http://www.northcountrynissan.com/new-inventory/index.htm
5641,Formula Nissan,"1504 US ROUTE 302, BARRE, VT 05641",http://www.formulanissan.com/,Barre,VT,Washington County,NA,NA,http://www.formulanissan.com/new-inventory/index.htm
5701,Garvey Nissan,"2201 ROUTE 7 NORTH, RUTLAND, VT 05701",http://www.garveynissan.com,Rutland,VT,Rutland County,NA,NA,http://www.garveynissan.com/VehicleSearchResults?search=new
6010,Crowley Nissan,"1451 FARMINGTON AVE, BRISTOL, CT 06010",http://www.crowleynissan.com,Bristol,CT,Hartford County,NA,NA,http://www.crowleynissan.com/new-nissan-vehicles/search-new-nissan-vehicles/
6040,Decormier Motor Sales,"30 TOLLAND TURNPIKE, MANCHESTER, CT 06040",http://www.decormiernissan.com/,Manchester,CT,Hartford County,NA,NA,http://www.decormiernissan.com/new-inventory/
6082,Lia Nissan Of Enfield,"10 PALOMBA DR, ENFIELD, CT 06082",http://www.lianissanenfield.com/,Enfield,CT,Hartford County,NA,NA,https://www.lianissanenfield.com/new-inventory/index.htm
6092,Hoffman Nissan,"46 ALBANY TURNPIKE, WEST SIMSBURY, CT 06092",http://www.hoffmannissan.com/,West Simsbury,CT,Hartford County,NA,NA,http://www.hoffmannissan.com/new-inventory/index.htm
6120,Harte Nissan,"165 W SERVICE RD, HARTFORD, CT 06120",http://www.hartenissan.com/,Hartford,CT,Hartford County,NA,NA,http://www.hartenissan.com/inventory/new-vehicles
6256,Gates Nissan,"143 BOSTON POST RD, NORTH WINDHAM, CT 06256",http://www.gatesnissan.com/,North Windham,CT,Windham County,NA,NA,http://gatesnissan.com/inventory/view/New/
6340,Girard Nissan,"425 GOLD STAR HWY, GROTON, CT 06340",http://www.girardnissan.com/,Groton,CT,New London County,NA,NA,http://www.girardnissan.com/searchnew.aspx
6360,Nissan Of Norwich,"691 W THAMES ST, NORWICH, CT 06360",http://www.nissanofnorwich.com/,Norwich,CT,New London County,NA,NA,http://www.nissanofnorwich.com/searchnew.aspx
6457,Middletown Nissan,"1153 NEWFIELD ST, MIDDLETOWN, CT 06457",http://WWW.MIDDLETOWNNISSAN.COM,Middletown,CT,Middlesex County,NA,NA,http://www.middletownnissan.com/new-inventory/index.htm
6460,Napoli Nissan,"688 BRIDGEPORT AVE, MILFORD, CT 06460",http://www.napolinissanct.com/,Milford,CT,New Haven County,NA,NA,http://www.napolinissanct.com/new-cars
6473,Executive Nissan,"900 UNIVERSAL DR N, NORTH HAVEN, CT 06473",http://www.executivenissan.com/,North Haven,CT,New Haven County,NA,NA,http://www.executivenissan.com/new-inventory/index.htm
