zipcode,DealerName,Address,Link,city,state,county_name,Latitude,IV_link,Longitude
6040,Lynch Toyota,"179 Tolland Turnpike, Manchester, Connecticut 06040",http://www.lynchtoyota.com,Manchester,CT,Hartford County,NA,http://www.lynchtoyota.com/new-inventory/index.htm,NA
6082,"Gale Toyota, Inc.","50 Palomba Drive, Enfield, Connecticut 06082",http://www.galetoyota.com,Enfield,CT,Hartford County,NA,http://www.galetoyota.com/new-cars-enfield-ct,NA
6092,Hoffman Toyota,"36 Albany Turnpike, Rt 44, West Simsbury, Connecticut 06092",http://www.hoffmantoyota.com,West Simsbury,CT,Hartford County,NA,http://www.hoffmantoyota.com/new-inventory/index.htm,NA
6120,Hartford Toyota,"158 Weston Street, Hartford, Connecticut 06120",http://www.hartfordtoyota.com,Hartford,CT,Hartford County,NA,http://www.hartfordtoyota.com/new-inventory/index.htm,NA
6320,Girard Toyota-BMW,"543 Colman Street, New London, Connecticut 06320",http://www.girardtoyota.com,New London,CT,New London County,NA,http://www.girardtoyota.com/searchnew.aspx,NA
6360,Charles Toyota,"500 West Thames Street, Norwich, Connecticut 06360",http://www.charlestoyota.com,Norwich,CT,New London County,NA,http://www.charlestoyota.com/searchnew.aspx,NA
6415,Toyota of Colchester,"100 Old Hartford Road, Colchester, Connecticut 06415",http://www.toyotaofcolchester.com,Colchester,CT,New London County,NA,http://www.toyotaofcolchester.com/searchnew.aspx,NA
6457,Middletown Toyota,"634 Newfield Street, Middletown, Connecticut 06457",http://www.middletowntoyota.com,Middletown,CT,Middlesex County,NA,http://www.middletowntoyota.com/searchnew.aspx,NA
6460,Colonial Toyota,"470 Boston Post Road, Milford, Connecticut 06460",http://www.colonialtoyotact.com,Milford,CT,New Haven County,NA,http://www.colonialtoyotact.com/searchnew.aspx,NA
6492,WOW Toyota of Wallingford,"859-861 No. Colony Road, Wallingford, Connecticut 06492",http://www.wow-toyota.com,Wallingford,CT,New Haven County,NA,http://www.wow-toyota.com/new-inventory/index.htm,NA
6498,Westbrook Toyota,"80 Flat Rock Place, Westbrook, Connecticut 06498",http://www.westbrooktoyota.com,Westbrook,CT,Middlesex County,NA,http://www.westbrooktoyota.com/new-inventory/index.htm,NA
6515,A-1 Toyota,"50 Amity Road, New Haven, Connecticut 06515",http://www.a1toyota.com,New Haven,CT,New Haven County,NA,http://www.a1toyota.com/searchnew.aspx,NA
6759,Dowling Toyota Litchfield,"451 Bantam Road, Litchfield, Connecticut 06759",http://www.dowling-toyota.com,Litchfield,CT,Litchfield County,NA,http://dowling-toyota.com/Litchfield-CT/For-Sale/New/,NA
6790,Torrington Toyota,"1472 East Main Street, Torrington, Connecticut 06790",http://www.torringtontoyota.com,Torrington,CT,Litchfield County,NA,http://www.torringtontoyota.com/new-inventory/index.htm,NA
6795,Branch Toyota,"832 Straits Turnpike, Watertown, Connecticut 06795",http://www.branchtoyota.com,Watertown,CT,Litchfield County,NA,http://branchtoyota.com/Watertown-CT/For-Sale/New/,NA
